28	60	71	83	71	83	102	60	102
/	87	71	95	71	95	102	87	102
02	94	71	122	71	122	102	94	102
/	125	71	133	71	133	102	125	102
2018	137	71	192	71	192	102	137	102
S86367030	479	77	612	77	612	108	479	108
NEFT	761	46	833	46	833	75	761	75
IW	843	46	859	46	859	75	843	75
FLIPKART	886	46	1018	46	1018	75	886	75
INTERNET	764	77	900	77	900	108	764	108
P	911	77	919	77	919	108	911	108
LTD	933	77	978	77	978	108	933	108
-	988	77	996	77	996	108	988	108
/	1004	77	1012	77	1012	108	1004	108
180228068GN0015	769	109	998	109	998	140	769	140
Cr	1219	74	1250	74	1250	108	1219	108
.	1249	74	1258	74	1258	108	1249	108
3	1284	74	1293	74	1293	108	1284	108
,	1295	74	1304	74	1304	108	1295	108
219	1303	74	1347	74	1347	108	1303	108
.	1347	74	1356	74	1356	108	1347	108
92	1362	74	1381	74	1381	108	1362	108
-	1590	73	1598	73	1598	104	1590	104
4	1599	73	1607	73	1607	104	1599	104
,	1612	73	1620	73	1620	104	1612	104
95	1624	73	1647	73	1647	104	1624	104
,	1651	73	1659	73	1659	104	1651	104
691	1656	73	1706	73	1706	104	1656	104
.	1705	73	1713	73	1713	104	1705	104
62	1713	73	1741	73	1741	104	1713	104
27	59	215	81	215	81	245	59	245
/	88	215	96	215	96	245	88	245
02	96	215	123	215	123	245	96	245
/	126	215	134	215	134	245	126	245
2018	137	215	189	215	189	245	137	245
S86131300	480	217	614	214	615	250	481	253
NFTCHG	761	193	881	193	881	214	761	214
BKDNH18058084052	765	219	1035	219	1035	250	765	250
270218	764	256	848	256	848	277	764	277
Dr	1220	216	1251	216	1251	250	1220	250
.	1247	216	1256	216	1256	250	1247	250
5	1282	216	1291	216	1291	250	1282	250
.	1293	216	1302	216	1302	250	1293	250
90	1307	216	1326	216	1326	250	1307	250
-	1584	215	1592	215	1592	247	1584	247
4	1597	215	1605	215	1605	247	1597	247
,	1610	215	1618	215	1618	247	1610	247
98	1627	215	1644	215	1644	247	1627	247
,	1650	215	1658	215	1658	247	1650	247
911	1662	215	1698	215	1698	247	1662	247
.	1702	215	1710	215	1710	247	1702	247
54	1714	215	1742	215	1742	247	1714	247
27	59	358	82	358	82	389	59	389
/	89	358	97	358	97	389	89	389
02	91	358	126	358	126	389	91	389
/	127	358	135	358	135	389	127	389
2018	136	358	191	358	191	389	136	389
S86008971	478	362	615	362	615	394	478	394
NFTCHG	760	336	883	336	883	357	760	357
BKDNH18057047870	762	363	1034	363	1034	392	762	392
260218	765	398	852	398	852	420	765	420
)	859	398	864	398	864	420	859	420
Dr	1218	358	1251	358	1251	394	1218	394
.	1249	358	1259	358	1259	394	1249	394
2	1282	358	1292	358	1292	394	1282	394
.	1293	358	1303	358	1303	394	1293	394
95	1304	358	1330	358	1330	394	1304	394
-	1589	359	1597	359	1597	388	1589	388
4	1601	359	1609	359	1609	388	1601	388
,	1613	359	1621	359	1621	388	1613	388
98	1624	359	1645	359	1645	388	1624	388
,	1652	359	1660	359	1660	388	1652	388
905	1663	359	1701	359	1701	388	1663	388
.	1706	359	1714	359	1714	388	1706	388
64	1709	359	1741	359	1741	388	1709	388
27	57	485	82	485	82	512	57	512
/	87	485	94	485	94	512	87	512
02	92	485	122	485	122	512	92	512
/	126	485	133	485	133	512	126	512
2018	135	485	187	485	187	512	135	512
585832380	478	491	614	491	614	521	478	521
NEFT	762	475	834	475	834	504	762	504
DADWANIS	844	475	983	475	983	504	844	504
FOOTWEAR	763	508	914	508	914	531	763	531
PVT	931	508	981	508	981	531	931	531
LTD	991	508	1034	508	1034	531	991	531
Dr	1223	482	1250	482	1249	520	1222	520
.	1247	482	1257	482	1256	520	1246	520
1	1286	483	1296	483	1295	521	1285	521
,	1294	483	1304	483	1303	521	1293	521
00	1306	483	1326	483	1325	521	1305	521
,	1333	483	1343	483	1342	521	1332	521
000	1345	484	1383	485	1382	523	1344	522
.	1388	484	1398	484	1397	522	1387	522
00	1399	485	1420	485	1419	523	1398	523
-	1588	487	1595	487	1595	514	1588	514
4	1599	487	1606	487	1606	514	1599	514
,	1613	487	1620	487	1620	514	1613	514
98	1624	487	1644	487	1644	514	1624	514
,	1650	487	1657	487	1657	514	1650	514
902	1664	487	1702	487	1702	514	1664	514
.	1706	487	1713	487	1713	514	1706	514
69	1707	487	1743	487	1743	514	1707	514
27	58	595	83	595	83	622	58	622
/	88	595	95	595	95	622	88	622
02	93	595	123	595	123	622	93	622
/	127	595	134	595	134	622	127	622
2018	133	595	188	595	188	622	133	622
S85735044	477	599	614	599	614	630	477	630
TRTR	765	587	827	587	827	610	765	610
/	837	587	843	587	843	610	837	610
805811525031	845	587	1026	587	1026	610	845	610
